epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,95973.8,0.14098,0.11401,0.83392,0.99459,0.99005,0.99494,0.99128,0.12713,0.08465,0.79089,0.003169,0.003169,0.003169
140,96590,0.14374,0.11681,0.83491,0.99465,0.99022,0.99494,0.99125,0.12739,0.08432,0.79119,0.0031195,0.0031195,0.0031195
141,97179.3,0.14102,0.11325,0.83415,0.99449,0.99016,0.99494,0.99123,0.12762,0.08384,0.79142,0.00307,0.00307,0.00307
142,97752.2,0.14014,0.11041,0.83189,0.99466,0.99046,0.99495,0.99123,0.12791,0.08323,0.79163,0.0030205,0.0030205,0.0030205
143,98308.8,0.14015,0.11244,0.83478,0.9945,0.99022,0.99494,0.99124,0.12791,0.08349,0.79154,0.002971,0.002971,0.002971
144,98886,0.13771,0.11086,0.83245,0.99483,0.99068,0.99495,0.99118,0.12811,0.08349,0.79167,0.0029215,0.0029215,0.0029215
145,99463.3,0.1379,0.11171,0.83148,0.9949,0.99057,0.99495,0.99118,0.12825,0.08364,0.79183,0.002872,0.002872,0.002872
146,100025,0.13551,0.10846,0.83251,0.995,0.99074,0.99496,0.99121,0.12831,0.08347,0.79196,0.0028225,0.0028225,0.0028225
147,100622,0.1374,0.11116,0.83215,0.99586,0.98999,0.99496,0.9912,0.12854,0.08297,0.79213,0.002773,0.002773,0.002773
148,101183,0.13679,0.11057,0.83182,0.99583,0.99039,0.99496,0.99116,0.12865,0.083,0.79225,0.0027235,0.0027235,0.0027235
149,101757,0.13506,0.10972,0.83197,0.99594,0.99022,0.99496,0.99116,0.12897,0.08318,0.79254,0.002674,0.002674,0.002674
150,102327,0.13516,0.108,0.83056,0.99628,0.99039,0.99496,0.9911,0.12893,0.08331,0.79238,0.0026245,0.0026245,0.0026245
151,102905,0.13487,0.10773,0.83041,0.99672,0.9901,0.99497,0.99104,0.12935,0.0834,0.79279,0.002575,0.002575,0.002575
152,103476,0.13302,0.10644,0.83139,0.99596,0.99074,0.99496,0.99103,0.12951,0.08337,0.79287,0.0025255,0.0025255,0.0025255
153,104038,0.13368,0.108,0.83273,0.99577,0.99074,0.99496,0.99093,0.12989,0.08357,0.79302,0.002476,0.002476,0.002476
154,104602,0.13479,0.10812,0.83094,0.99552,0.99093,0.99496,0.99092,0.13006,0.08371,0.7932,0.0024265,0.0024265,0.0024265
155,105158,0.13398,0.1084,0.83204,0.99637,0.9899,0.99496,0.99097,0.13013,0.08355,0.79315,0.002377,0.002377,0.002377
156,105732,0.13233,0.1051,0.83143,0.99569,0.9907,0.99496,0.99078,0.13023,0.08337,0.79312,0.0023275,0.0023275,0.0023275
157,106291,0.13401,0.10712,0.8322,0.99586,0.99049,0.99496,0.99077,0.13035,0.08354,0.79314,0.002278,0.002278,0.002278
158,106854,0.13141,0.1052,0.83109,0.99603,0.99057,0.99496,0.99092,0.13003,0.08342,0.79288,0.0022285,0.0022285,0.0022285
159,107421,0.13061,0.10434,0.83041,0.99618,0.99074,0.99496,0.99092,0.13014,0.08351,0.79288,0.002179,0.002179,0.002179
160,107981,0.12994,0.10388,0.82844,0.99638,0.99059,0.99497,0.99098,0.13006,0.0834,0.79287,0.0021295,0.0021295,0.0021295
161,108553,0.12865,0.10284,0.83045,0.99634,0.99074,0.99497,0.99105,0.13004,0.08328,0.7927,0.00208,0.00208,0.00208
162,109112,0.13027,0.10392,0.8316,0.99621,0.99101,0.99496,0.99105,0.1303,0.08341,0.7926,0.0020305,0.0020305,0.0020305
163,109693,0.13032,0.10343,0.83126,0.99621,0.99103,0.99496,0.99109,0.13041,0.08357,0.79259,0.001981,0.001981,0.001981
164,110274,0.12722,0.10088,0.82999,0.99598,0.99108,0.99496,0.99113,0.13048,0.08365,0.79246,0.0019315,0.0019315,0.0019315
165,110838,0.12609,0.09999,0.82919,0.99607,0.99091,0.99496,0.99113,0.13066,0.084,0.79256,0.001882,0.001882,0.001882
166,111440,0.12552,0.09943,0.83004,0.99603,0.99108,0.99496,0.99115,0.13073,0.0836,0.7926,0.0018325,0.0018325,0.0018325
167,112027,0.12654,0.10016,0.82847,0.99626,0.99091,0.99497,0.99112,0.13096,0.08355,0.79269,0.001783,0.001783,0.001783
168,112607,0.12568,0.09978,0.82873,0.99672,0.991,0.99497,0.99104,0.13102,0.08323,0.79265,0.0017335,0.0017335,0.0017335
169,113174,0.12505,0.10055,0.82894,0.99701,0.99091,0.99497,0.99102,0.13086,0.08351,0.79252,0.001684,0.001684,0.001684
170,113744,0.12445,0.09864,0.82932,0.99707,0.99063,0.99497,0.991,0.13087,0.08347,0.79251,0.0016345,0.0016345,0.0016345
171,114320,0.12371,0.09975,0.8281,0.99724,0.99021,0.99497,0.991,0.13086,0.08336,0.79254,0.001585,0.001585,0.001585
172,114899,0.12433,0.09947,0.83147,0.99724,0.99019,0.99497,0.99097,0.1311,0.08358,0.79268,0.0015355,0.0015355,0.0015355
173,115460,0.12241,0.0959,0.82825,0.99702,0.99005,0.99497,0.99095,0.13106,0.08387,0.79269,0.001486,0.001486,0.001486
174,115993,0.12272,0.09778,0.82763,0.99687,0.99022,0.99497,0.99094,0.13088,0.08372,0.79282,0.0014365,0.0014365,0.0014365
175,116586,0.12164,0.09566,0.82828,0.99655,0.99009,0.99497,0.99097,0.13078,0.08335,0.79281,0.001387,0.001387,0.001387
176,117153,0.12023,0.09547,0.82838,0.99664,0.99057,0.99497,0.99102,0.13053,0.08349,0.79254,0.0013375,0.0013375,0.0013375
177,117727,0.12089,0.09582,0.82876,0.99656,0.99057,0.99497,0.99106,0.1305,0.08365,0.7925,0.001288,0.001288,0.001288
178,118289,0.12013,0.09534,0.8288,0.99655,0.99043,0.99497,0.99106,0.13038,0.08357,0.79247,0.0012385,0.0012385,0.0012385
179,118862,0.11826,0.09487,0.82776,0.99643,0.99057,0.99497,0.99108,0.13025,0.08361,0.79239,0.001189,0.001189,0.001189
180,119424,0.11755,0.09312,0.82709,0.99633,0.99057,0.99497,0.99109,0.12994,0.0836,0.79217,0.0011395,0.0011395,0.0011395
181,119985,0.11823,0.09272,0.82769,0.99659,0.99057,0.99497,0.99103,0.12978,0.08367,0.79208,0.00109,0.00109,0.00109
182,120561,0.11789,0.09301,0.82781,0.99675,0.99074,0.99497,0.99109,0.12958,0.08323,0.79217,0.0010405,0.0010405,0.0010405
183,121127,0.11757,0.09289,0.82853,0.99706,0.99022,0.99497,0.99109,0.12949,0.08284,0.79229,0.000991,0.000991,0.000991
184,121718,0.11685,0.09099,0.8283,0.99724,0.98988,0.99497,0.99106,0.12954,0.08281,0.79241,0.0009415,0.0009415,0.0009415
185,122274,0.11472,0.09089,0.82721,0.99535,0.99168,0.99497,0.99105,0.12946,0.08281,0.79235,0.000892,0.000892,0.000892
